3	7
5	11
8	21
15	49
22	67
24	69
27	72
42	93
50	101
57	113
62	118
66	125
67	131
76	142
90	160
101	185
122	208
144	232
162	250
166	254
167	255
169	257
177	265
198	288
270	374
271	375
301	410
315	425
324	434
325	435
329	442
339	452
354	473
356	475
415	536
434	555
448	569
462	586
466	590
487	613
490	621
518	651
535	669
537	671
579	713
591	725
602	737
622	761
628	767
631	770
632	771
634	773
702	843
764	921
777	935
903	1068
933	1104
1031	1219
1248	1519
1250	1521
1277	1560
1287	1573
1322	1617
1443	1783
1459	1803
1466	1826
1470	1836
1496	1872
1504	1902
1511	1919
1512	1922
1518	1928
1519	1929
1532	1942
1544	1957
1545	1958
1550	1963
1554	1971
1560	1979
1561	1981
1563	1983
1577	2001
1583	2010
1600	2028
1607	2035
1806	2234
1819	2247
1823	2251
1844	2272
1845	2273
1849	2277
1854	2282
1863	2291
1864	2292
1867	2295
1872	2300
1874	2302
1875	2303
1886	2314
1900	2328
1935	2363
1947	2375
1957	2385
1979	2407
1989	2417
1997	2425
2004	2432
2022	2450
2035	2463
2041	2469
2052	2480
2056	2484
2071	2499
2078	2506
2110	2538
2117	2545
2133	2561
2140	2568
2143	2571
2179	2607
2190	2618
2198	2626
2200	2628
2217	2645
2241	2669
2243	2671
2249	2677
2250	2678
2254	2682
2262	2690
2268	2696
2309	2737
2323	2751
2368	2796
2392	2820
2396	2824
2398	2826
2410	2838
2412	2840
2415	2843
2444	2872
2470	2898
2479	2907
2491	2919
2509	2937
2511	2939
2570	2998
2628	3056
2629	3057
2634	3062
2670	3098
2676	3104
2694	3122
2697	3125
2742	3170
2749	3177
2770	3198
2804	3232
2820	3248
2822	3250
2841	3269
2843	3271
2858	3286
2882	3310
2883	3311
2885	3313
2900	3328
2901	3329
2953	3381
2972	3400
3009	3437
3022	3450
3025	3453
3065	3493
3068	3496
3077	3505
3089	3517
3099	3527
3106	3534
3116	3544
3138	3566
3139	3567
3144	3572
3174	3602
3197	3625
3208	3636
3214	3642
3232	3660
3235	3663
3254	3682
3276	3704
3279	3707
3380	3808
3429	3857
3431	3859
3443	3871
3456	3884
3854	4282
3935	4363
